country,iso_a3,group_label,gdpc_mean,gdp_pc,gdp,cum_sum
Germany,DEU,9,28059.26,46258.88,3845630030823.52,0.20449
United Kingdom,GBR,9,28059.26,42300.27,2827113184695.58,0.35483
Italy,ITA,9,28059.26,33189.57,2001244392041.57,0.46125
Russia,RUS,9,28059.26,11585.0,1699876578871.35,0.55164
Spain,ESP,9,28059.26,29613.67,1394116310768.63,0.62577
Netherlands,NLD,9,28059.26,52447.83,909070395160.78,0.67411
Switzerland,CHE,9,28059.26,81993.73,703082435360.12,0.7115
Poland,POL,9,28059.26,15595.23,592164400687.61,0.74299
Sweden,SWE,9,28059.26,51610.07,530832908737.86,0.77122
Belgium,BEL,9,28059.26,46116.7,529606710418.04,0.79938
Austria,AUT,9,28059.26,50277.28,446314739528.47,0.82311
Ireland,IRL,9,28059.26,78660.96,388698711348.16,0.84378
Denmark,DNK,9,28059.26,59822.09,348078018463.91,0.86229
Finland,FIN,9,28059.26,48685.85,268761201364.7,0.87658
Romania,ROU,9,28059.26,12919.53,250077444017.08,0.88988
Czechia,CZE,9,28059.26,23101.78,246489245494.88,0.90299
Portugal,PRT,9,28059.26,23145.04,237686075634.7,0.91563
Greece,GRC,9,28059.26,19582.54,209852761468.68,0.92679
Algeria,DZA,9,28059.26,3948.34,169988236398.13,0.93583
Hungary,HUN,9,28059.26,16475.74,160967157503.61,0.94439
Ukraine,UKR,9,28059.26,3659.03,153781069118.15,0.95256
Morocco,MAR,9,28059.26,3204.1,118725279596.13,0.95888
Slovakia,SVK,9,28059.26,19329.1,105422304975.58,0.96448
Luxembourg,LUX,9,28059.26,114704.59,71104919108.14,0.96826
Bulgaria,BGR,9,28059.26,9737.6,67927179736.69,0.97188
Belarus,BLR,9,28059.26,6663.3,63080457022.66,0.97523
Croatia,HRV,9,28059.26,14853.24,60415553038.88,0.97844
Lithuania,LTU,9,28059.26,19455.45,54219315600.09,0.98133
Slovenia,SVN,9,28059.26,25739.25,53742159516.93,0.98418
Libya,LBY,9,28059.26,7683.75,52076250947.58,0.98695
Serbia,SRB,9,28059.26,7402.35,51409167350.75,0.98969
Tunisia,TUN,9,28059.26,3317.54,38797709923.66,0.99175
Latvia,LVA,9,28059.26,17836.36,34117202555.07,0.99356
Estonia,EST,9,28059.26,23659.87,31386949981.24,0.99523
Iceland,ISL,9,28059.26,66944.83,24188035738.78,0.99652
Bosnia and Herz.,BIH,9,28059.26,6073.27,20047848434.55,0.99758
Albania,ALB,9,28059.26,5352.86,15278077446.86,0.9984
Macedonia,MKD,9,28059.26,6093.15,12694823394.09,0.99907
Moldova,MDA,9,28059.26,4498.52,11955435456.8,0.99971
Montenegro,MNE,9,28059.26,8832.04,5494736901.03,1.0
United States of America,USA,0,22133.9,65118.36,21374418877706.7,0.91442
Canada,CAN,0,22133.9,46194.73,1736425629519.96,0.9887
Puerto Rico,PRI,0,22133.9,32873.72,104988600000.0,0.99319
Dominican Rep.,DOM,0,22133.9,8282.12,88941298257.72,0.997
Trinidad and Tobago,TTO,0,22133.9,17276.47,24100202833.75,0.99803
Jamaica,JAM,0,22133.9,5582.26,16458071067.82,0.99873
Bahamas,BHS,0,22133.9,32933.49,12827000000.0,0.99928
Haiti,HTI,0,22133.9,754.59,8498981820.87,0.99965
Guyana,GUY,0,22133.9,5468.36,4280443645.08,0.99983
Suriname,SUR,0,22133.9,6854.91,3985250737.46,1.0
Australia,AUS,6,18540.38,54907.1,1392680589329.14,0.85312
New Zealand,NZL,6,18540.38,42084.35,206928765543.94,0.97988
Papua New Guinea,PNG,6,18540.38,2845.18,24969611434.77,0.99517
Fiji,FJI,6,18540.38,6220.05,5535548972.41,0.99857
Solomon Is.,SLB,6,18540.38,2127.54,1425074225.78,0.99944
Vanuatu,VUT,6,18540.38,3058.07,917058850.82,1.0
Saudi Arabia,SAU,5,16681.31,23139.8,792966838161.66,0.22409
Turkey,TUR,5,16681.31,9042.49,754411708202.62,0.43729
United Arab Emirates,ARE,5,16681.31,43103.32,421142267937.65,0.5563
Israel,ISR,5,16681.31,43641.4,395098666121.62,0.66796
Egypt,EGY,5,16681.31,3020.03,303175127597.52,0.75363
Iraq,IRQ,5,16681.31,5955.11,234094042938.92,0.81979
Qatar,QAT,5,16681.31,64781.73,183466208791.21,0.87164
Kuwait,KWT,5,16681.31,32031.98,134761198945.98,0.90972
Ethiopia,ETH,5,16681.31,857.5,96107662398.17,0.93688
Lebanon,LBN,5,16681.31,7784.32,53367042272.17,0.95196
Azerbaijan,AZE,5,16681.31,4793.59,48047647058.82,0.96554
Jordan,JOR,5,16681.31,4330.33,43743661971.83,0.9779
Cyprus,CYP,5,16681.31,27858.37,24564647934.62,0.98484
Sudan,SDN,5,16681.31,441.51,18902284475.61,0.99018
Georgia,GEO,5,16681.31,4769.19,17743195770.2,0.9952
Armenia,ARM,5,16681.31,4622.73,13672802157.83,0.99906
Djibouti,DJI,5,16681.31,3408.85,3318716359.44,1.0
China,CHN,4,9987.52,10261.68,14342902842915.9,0.59097
Japan,JPN,4,9987.52,40246.88,5081769542379.77,0.80035
South Korea,KOR,4,9987.52,31761.98,1642383217167.26,0.86802
Indonesia,IDN,4,9987.52,4135.57,1119190780752.8,0.91413
Thailand,THA,4,9987.52,7808.19,543649976165.63,0.93653
Philippines,PHL,4,9987.52,3485.08,376795508679.68,0.95206
Malaysia,MYS,4,9987.52,11414.84,364701517787.84,0.96709
Bangladesh,BGD,4,9987.52,1855.74,302571254131.14,0.97955
Vietnam,VNM,4,9987.52,2715.28,261921244843.17,0.99034
Sri Lanka,LKA,4,9987.52,3853.08,84008783756.07,0.99381
Myanmar,MMR,4,9987.52,1407.81,76085852617.14,0.99694
Cambodia,KHM,4,9987.52,1643.12,27089389786.97,0.99806
Laos,LAO,4,9987.52,2534.9,18173839128.27,0.99881
Mongolia,MNG,4,9987.52,4295.24,13852850259.49,0.99938
Brunei,BRN,4,9987.52,31086.75,13469422941.39,0.99993
Timor-Leste,TLS,4,9987.52,1294.19,1673540300.0,1.0
Brazil,BRA,1,9393.5,8717.19,1839758040765.62,0.62712
Argentina,ARG,1,9393.5,10006.15,449663446954.07,0.78039
Chile,CHL,1,9393.5,14896.45,282318159744.65,0.87663
Peru,PER,1,9393.5,6977.7,226848050819.52,0.95395
Uruguay,URY,1,9393.5,16190.13,56045912952.34,0.97306
Bolivia,BOL,1,9393.5,3552.07,40895322865.41,0.987
Paraguay,PRY,1,9393.5,5414.8,38145288939.85,1.0
Mexico,MEX,7,6855.89,9863.07,1258286717124.53,0.64155
Colombia,COL,7,6855.89,6432.39,323802808108.25,0.80664
Ecuador,ECU,7,6855.89,6183.82,107435665000.0,0.86142
Guatemala,GTM,7,6855.89,4619.99,76710385879.66,0.90053
Panama,PAN,7,6855.89,15731.02,66800800000.0,0.93459
Costa Rica,CRI,7,6855.89,12238.37,61773944173.67,0.96608
El Salvador,SLV,7,6855.89,4187.25,27022640000.0,0.97986
Honduras,HND,7,6855.89,2574.91,25095395475.04,0.99266
Nicaragua,NIC,7,6855.89,1912.9,12520915291.18,0.99904
Belize,BLZ,7,6855.89,4815.16,1879613600.0,1.0
India,IND,8,3785.8,2104.15,2875142314811.85,0.81339
Pakistan,PAK,8,3785.8,1284.7,278221906022.84,0.89211
Kazakhstan,KAZ,8,3785.8,9731.15,180161741180.15,0.94307
Oman,OMN,8,3785.8,15474.03,76983094928.48,0.96485
Uzbekistan,UZB,8,3785.8,1724.84,57921286440.35,0.98124
